Name,URL,Fact and Bias
Politico,politico.com,left_center            
Politico Info,politicoinfo.com,questionable            
politicono,politicono.com,"  parody site  fake       Jerusalem, Israel "
politicops,politicops.com,"  parody site  satire  fake    redirects to Newslo Jerusalem, Israel "
politicot,politicot.com,"  parody site  satire  fake    redirects to Newslo Jerusalem, Israel "
politicsintheusa,politicsintheusa.com,    unreliable  bias      
Politics That Work,politicsthatwork.com,left_center            
politicsusanews,politicsusanews.com,"  fake news  fake       Panama, Pa.* "
Politicususa,politicususa.com,left    clickbait  unreliable      
Politifact,politifact.com,least_biased            
pollhype,pollhype.com,    rumor   clickbait  bias    
Polygraph fo,polygraph.info,least_biased            
Popular Science,popsci.com,pro_science            
Popular Mechanics,popularmechanics.com,pro_science            
Pittsburgh Post-Gazette,post-gazette.com,left_center            
Post-Bulletin,postbulletin.com,right_center            
Power Line,powerlineblog.com,right            
powerpoliticians,powerpoliticians.com,    unreliable        
Poynter Institute,poynter.org,least_biased            
pravda.ru,pravda.ru,    bias  rumor  conspiracy    
Pravda Report,pravdareport.com,left    bias  rumor  conspiracy  redirects to pravda.ru  
prepperwebsite,prepperwebsite.com,    conspiracy  fake      
president45donaldtrump,president45donaldtrump.com,"  fake news  fake       Burlington, Mass. ~ "
presidentialvoting2016,presidentialvoting2016.com,    political  bias  unreliable    
Portland Press-Herald,pressherald.com,left_center            
Press Progress,pressprogress.ca,left            
Press TV,presstv.com,left_center    bias  unreliable      
presstv.ir,presstv.ir,    bias  unreliable    redirects to presstv.com  
Public Radio International (PRI),pri.org,left_center            
Global Post,pri.org programs globalpost,left_center            
Prison Planet,prisonplanet.com,pseudoscience    conspiracy        
Private Eye,private-eye.co.uk,satire            
Prntly,prntly.com,"questionable  fake news  fake       Nobby Beach, Australia !! "
Pro-America News,proamericanews.com,questionable    fake        
The Progressive,progressive.org,left            
Progress Tribune,progresstribune.com,questionable            
Project Veritas,projectveritas.com,right    bias  unreliable  political    
Prophecy Today,prophecytoday.com,pseudoscience            
Prop or Not,propornot.com p home.html,pseudoscience            
Propublica,propublica.org,left_center            
The American Prospect,prospect.org,left            
Prospect Magazine,prospectmagazine.co.uk,left_center            
Proud Patriots,proud-patriots.com,questionable            
proudcons,proudcons.com,    fake  bias      
Proud Democrat,proudemocrat.com,left    political        
Proud Leader,proudleader.com,"questionable  fake news         North Waterboro, Me. "
Public Religion Research Institute (PRRI),prri.org,least_biased            
Psychology Today,psychologytoday.com,pro_science            
Psypost,psypost.org,pro_science            
World Meteorological Organization,public.wmo.int,pro_science            
Center For Public Integrity,publicintegrity.org,least_biased            
Public Interest Legal Foundation,publicinterestlegal.org,right_center            
Public Policy Polling (PPP),publicpolicypolling.com,least_biased            
PunchingBag Post,punchingbagpost.com,right_center            
PutinTrump ,putintrump.org,left_center            
QPolitical,qpolitical.com,questionable    bias  clickbait  junksci    
Quackwatch,quackwatch.org,pro_science            
Quartz,qz.com,left_center            
Rabble ,rabble.ca,left            
Rappler,rappler.com,left            
Rare,rare.com,right_center            
RationalWiki,rationalwiki.org wiki Main_Page,left_center            
rawforbeauty,rawforbeauty.com,    junksci        
Raw Progressive,rawprogressive.com,left            
Raw Story,rawstory.com,left    political  clickbait      
React 365,react365.com,questionable    fake      fake news generator for pranking friends  
readconservatives ,readconservatives.news,"  fake news  bias  fake  clickbait   Kirkland, Wash.*** "
Reagan Coalition,reagancoalition.com,questionable    bias  fake  clickbait    
Real Clear Defense,realcleardefense.com,right_center            
Real Clear Investigations,realclearinvestigations.com,right_center            
Real Clear Politics,realclearpolitics.com,right_center            
Real Clear Science,realclearscience.com,pro_science            
RealFarmacy,realfarmacy.com,pseudoscience    junksci  conspiracy      
Real Jew News,realjewnews.com,pseudoscience            
Real News Right Now,realnewsrightnow.com,"satire  parody site  fake  satire     Los Angeles, Calif. "
realplanetnews,realplanetnews.com,    junksci        
Real Time Politics,realtimepolitics.com,questionable    bias  unreliable      
Reason,reason.com,right_center            
Red Alert Politics,redalertpolitics.com,right            
Red Country,redcountry.us,"questionable  fake news  fake       Veles, Macedonia "
Red Flag News,redflagnews.com,right    bias  conspiracy  unreliable    
redinfo ,redinfo.us,"  fake news         Veles, Macedonia "
RedOrbit,redorbit.com,pro_science            
Redoubt News,redoubtnews.com,pseudoscience            
Red People,redpeople.us,questionable            
Red Pepper,redpepper.org.uk,left            
Red Rock Daily News,redrockdaily.com,questionable            
redrocktribune,redrocktribune.com,"  imposter site  fake       Scottsdale, Ariz. ** "
Red State,redstate.com,right    political  clickbait      
Red State Watcher,redstatewatcher.com,right    bias  clickbait      
Reductress,reductress.com,satire    satire        
"Red, White and Right",redwhiteandright.com,questionable            
Reflection of Mind,reflectionofmind.org,pseudoscience            
regated,regated.com,    bias        
Regated News,regated.com,right            
religionlo,religionlo.com,"  parody site  satire       Jerusalem, Israel "
religionmind,religionmind.com,"  fake news  fake       Balangoda, Sri Lanka "
remedydaily,remedydaily.com,    clickbait         
Rense,rense.com,pseudoscience    conspiracy  junksci      
Waterbury Republican-American,rep-am.com,right_center            
Reporters Lab,reporterslab.org,least_biased            
Represent ,represent.us,least_biased            
International Rescue Committee,rescue.org,least_biased            
Resistance Media,resistancemedia.org,right            
Natural Resource Governance Institute,resourcegovernance.org,left_center            
Institute for Responsible Technology,responsibletechnology.org,pseudoscience            
responsibletechnology,responsibletechnology.org,    junksci        
Retraction Watch,retractionwatch.com,pro_science            
Return of Kings,returnofkings.com,questionable    hate        
Reuters,reuters.com,least_biased            
Revcom ,revcom.us,left            
Reverb Press,reverbpress.com,left            
Las Vegas Review Journal,reviewjournal.com,right_center            
Revolution News,revolution-news.com,left            
revolutions2040,revolutions2040.com,    junksci  clickbait      
Rewire,rewire.news,left            
Radio Free Asia,rfa.org english,left_center            
rhotv,rhotv.com,    fake        
Richmond Times-Dispatch,richmond.com,right_center            
Constitution Rising,rickwells.us,questionable            
rickwells ,rickwells.us,    fake  conspiracy      
rightalert,rightalert.com,    bias  unreliable      
Right Journalist,rightjournalist.com,questionable            
Right Side News,rightsidenews.com,questionable            
Right Smarts,rightsmarts.com,questionable            
Right Wing News,rightwingnews.com,questionable    bias  unreliable      
Right Wing Watch,rightwingwatch.org,left            
Rile News,rilenews.com,satire    fake  satire      
rinf,rinf.com,    political        
RiverBender ,riverbender.com,least_biased            
Roanoke Times,roanoke.com,left_center            
Rock City Times,rockcitytimes.com,satire    satire        
rogue-nation3,rogue-nation3.com,"  fake news  fake       Quebec, Canada "
Roll Call,rollcall.com,least_biased            
Rolling Stone,rollingstone.com,left_center            
The Ron Paul Institute,ronpaulinstitute.org,right    political        
Ron Paul Liberty Report,ronpaullibertyreport.com,right            
Roosevelt Institute,rooseveltinstitute.org,left_center            
rt,rt.com,    state        
RT News,rt.com news,right_center            
Rudaw,rudaw.net english,left_center            
rumorjournal,rumorjournal.com,"  fake news  fake       Panama, Pa. * "
rumormillnews,rumormillnews.com,    conspiracy  junksci  rumor    
ruptly,ruptly.tv,    political      owned by RT  
Russia Insider,russia-insider.com,right_center    bias  clickbait      
Sacramento Bee,sacbee.com,left_center            
Salon,salon.com,left            
Liberals Unite (Samuel Warde),samuel-warde.com,left            
San Diego Union Tribune,sandiegouniontribune.com,right_center            
Satira Tribune,satiratribune.com,"satire  parody site  satire       Scottsdale, Ariz. ** "
satirewire,satirewire.com,    satire        
Special Broadcasting Service (SBS),sbs.com.au,left_center            
Scary Mommy,scarymommy.com,left            
SciCentral,scicentral.com,pro_science            
ScienceAlert,sciencealert.com,pro_science            
Science Based Medicine,sciencebasedmedicine.org,pro_science            
ScienceBlogs,scienceblogs.com,pro_science            
Science Daily,sciencedaily.com,pro_science            
Science Debate,sciencedebate.org,least_biased            
ScienceDirect,sciencedirect.com,pro_science            
Science Magazine,sciencemag.org,pro_science            
Science News,sciencenews.org,pro_science            
Science Vibe,sciencevibe.com,pseudoscience            
Scientific American,scientificamerican.com,pro_science            
Scoopnest,scoopnest.com,least_biased            
Scoopwhoop,scoopwhoop.com,left_center            
Scorched Earth News,scorchedearthnews.com,satire            
SCOTUSblog,scotusblog.com,least_biased            
scrappleface,scrappleface.com,    satire        
Seattle Post-Intelligencer,seattlepi.com,left_center            
Seattle Times,seattletimes.com,left_center            
Second Nexus,secondnexus.com,left_center            
Secrets of the Fed,secretsofthefed.com,pseudoscience    conspiracy  junksci      
Secure America Now,secureamericanow.org,right            
Seeker Daily,seeker.com,pro_science            
sensationalisttimes,sensationalisttimes.com,    satire        
sentinelblog,sentinelblog.com,    conspiracy  junksci      
San Francisco Chronicle,sfchronicle.com,left_center            
SFGate,sfgate.com,left_center            
Shareblue,shareblue.com,left    unreliable  political  bias  My analysis is similar to this site:  mediabiasfactcheck.com shareblue   
Sheep Killers,sheepkillers.com,pseudoscience    conspiracy  junksci      
Shoebat,shoebat.com,pseudoscience    conspiracy  bias      
SHTFplan ,shtfplan.com,questionable            
Silence is Consent,silenceisconsent.net,right            
Staten Island Advance,silive.com,left_center            
silver-coin-investor. com,silver-coin-investor. com,    conspiracy  bias  unreliable    
silverbearcafe,silverbearcafe.com,    conspiracy        
silverdoctors,silverdoctors.com,    conspiracy  bias      
silverstealers,silverstealers.net,    conspiracy        
Stillness in the Storm,sitsshow.blogspot.com,pseudoscience            
sjlendman spot,sjlendman.blogspot.com,    bias        
Skeptic Magazine,skeptic.com,pro_science            
Skeptical Science,skepticalscience.com,pro_science            
Skeptic Ink,skepticink.com,pro_science            
Australian Skeptics Inc.,skeptics.com.au,pro_science            
Skeptiko,skeptiko.com,pseudoscience    conspiracy  junksci      
Skeptoid,skeptoid.com,pro_science            
Sky and Telescope,skyandtelescope.com,pro_science            
Slate,slate.com,left            
Salt Lake Tribune,sltrib.com,left_center            
smag31,smag31.com,"  some fake stories  fake  unreliable     Dundalk, Ireland "
The Sydney Morning Herald,smh.com.au,left_center            
Smithsonian Magazine,smithsonianmag.com,pro_science            
Snopes,snopes.com,least_biased            
The Middle East in London,soas.ac.uk lmei meil,least_biased            
socialeverythings,socialeverythings.com,"  fake news  fake       Mahawela, Sri Lanka "
Society for Science,societyforscience.org,pro_science            
SOFREP,sofrep.com,right_center            
Sojourners (Soho),sojo.net,left_center            
sonsoflibertyradio,sonsoflibertyradio.com,    conspiracy  bias   unreliable    
SooToday ,sootoday.com,left_center            
SourceWatch,sourcewatch.org index.php SourceWatch,left            
southernconservativeextra,southernconservativeextra.com,  fake news         Came up as available for use 
South Front,southfront.org,pseudoscience            
South Jersey Mechanic (Trump News),southjerseymechanic.com,questionable            
sovereignman,sovereignman.com,    unreliable        
Space ,space.com,pro_science            
The Spectator (UK),spectator.co.uk,right_center            
American Spectator,spectator.org,right            
speld,speld.nl,    satire        
Spiegel Online,spiegel.de international,left_center            
Spiked Magazine,spiked-online.com,right            
spinzon,spinzon.com,"  fake news         Panama, Pa. * "
Southern Poverty Law Center,splcenter.org,left_center            
Sports Pickle,sportspickle.com,satire    satire        
Sputnik News,sputniknews.com,right_center    bias  state  fake    
Salem Radio Network News (SRN News),srnnews.com,right_center            
Star-Telegram,star-telegram.com,right_center            
Honolulu Star-Advertiser,staradvertiser.com,left_center            
Minneapolis Star Tribune,startribune.com,left_center            
states-tv,states-tv.com,"  fake news         Scottsdale, Ariz. ** "
Statesman Journal,statesmanjournal.com,right_center            
STAT (News),statnews.com,least_biased            
Stimson Center,stimson.org,least_biased            
St. Louis Post-Dispatch,stltoday.com,left_center            
stneotscitizen,stneotscitizen.com,    satire        
Stock News USA,stocknewsusa.com,least_biased            
StopFake,stopfake.org,left_center            
Storm Clouds Gathering,stormcloudsgathering.com,pseudoscience    fake        
StormFront,stormfront.org forum blogs recent-entries,pseudoscience            
St. Pete for Peace,stpete4peace.org,left            
Strategic Culture Foundation,strategic-culture.org,right_center            
Stratfor,stratfor.com,least_biased            
The Stream,stream.org,pseudoscience            
Stars and Stripes,stripes.com,least_biased            
Stubhill News,stubhillnews.com,satire            
Student Daily News,studentnewsdaily.com,right_center            
Stuppid,stuppid.com,satire    satire        
Subject Politics,subjectpolitics.com,questionable    fake  bias      
success-street,success-street.com,"  fake news  fake  clickbait     Kumanovo, Macedonia "
South Florida Sun-Sentinel,sun-sentinel.com,right_center            
Sunday Sport,sundaysportonline.co.uk,satire            
Sungress,sungress.com,satire            
Sunlight Foundation,sunlightfoundation.com,least_biased            
Supreme Patriot,supremepatriot.com,"questionable  fake news  fake  bias     Panama, Pa. * "
Sure News,surenews.com,questionable            
surrealscoop,surrealscoop.com,    satire        
Sustainable Pulse,sustainablepulse.com,pseudoscience            
TD Newswire,swampdrain.com,questionable            
The Swedish Wire,swedishwire.com,least_biased            
Syrian Observatory for Human Rights (SOHR),syriahr.com en,left_center            
Syria News,syrianews.com,questionable            
TakePart,takepart.com,left            
Talking Points Memo,talkingpointsmemo.com,left            
Tallahassee Democrat,tallahassee.com,right_center            
Tampa Bay Times,tampabay.com,left_center            
Task and Purpose,taskandpurpose.com,least_biased            
Russian News Agency-TASS,tass.com,right_center            
Tax Foundation,taxfoundation.org,right_center            
Tampa Tribune,tbo.com,right_center            
The Century Foundation,tcf.org,left_center            
tdtalliance,tdtalliance.com,"  fake news  fake       Scottsdale, Ariz. ** "
teaparty,teaparty.org,"  some fake stories  fake  unreliable     Laguna Woods, Calif. "
Tea Party Inc.,teaparty.org,questionable            
Tea Party Patriots,teapartypatriots.org,right            
Tea Party Tribune,teapartytribune.com,right            
MIT Technology Review,technologyreview.com,pro_science            
TechXplore,techxplore.com,pro_science            
Teddy Stick,teddystick.com,questionable            
TeleSUR,telesurtv.net english,left            
The Tennessean,tennessean.com,right_center            
Texas Tribune,texastribune.org,least_biased            
Tharawat Magazine,tharawat-magazine.com #gs.a9CcWpc,right_center            
thatviralfeed,thatviralfeed.net,"  some fake stories  fake  unreliable     Denver, Colo. "
The American Interest,the-american-interest.com,right_center            
The Daily Buzz,the-daily.buzz,left            
the-insider,the-insider.co,"  fake news  fake       Scottsdale, Ariz. ** "
The Japan News,the-japan-news.com,right_center            
The Postillion,the-postillon.com,"satire  parody site         Roubaix, France "
The Age (Australia),theage.com.au,left_center            
The American Cause,theamericancause.org,right            
The American Conservative,theamericanconservative.com,right_center            
theamericanindependent ,theamericanindependent.wordpress.com,    fake  bias      
The American Mirror,theamericanmirror.com,questionable            
The Anti-Media,theantimedia.org,pseudoscience    unreliable  bias  conspiracy  ex:  theantimedia.org cdc-admits-ebola-airborne   
The Australian,theaustralian.com.au,right_center            
The Baffler,thebaffler.com,left_center            
The Beaverton,thebeaverton.com,satire    satire        
thebigriddle,thebigriddle.com,"  some fake stories  fake       Scottsdale, Ariz. ** "
The Blacksphere,theblacksphere.net,right            
The Blaze,theblaze.com,right    political  clickbait      
Bulletin of the Atomic Scientists,thebulletin.org,least_biased            
The Bureau of Investigative Journalism,thebureauinvestigates.com,least_biased            
The Canary (UK),thecanary.co,left            
The Christian Left,thechristianleft.org,left_center            
The College Fix,thecollegefix.com,right            
The Common Sense Show,thecommonsenseshow.com,pseudoscience    fake  conspiracy      
The Controversial Files,thecontroversialfiles.net,pseudoscience    fake  clickbait       
The Conversation,theconversation.com us,least_biased            
The Daily Banter,thedailybanter.com,left            
Daily Beast,thedailybeast.com,left    political        
The Daily Mash,thedailymash.co.uk,satire    satire        
The Daily News UK,thedailynewsuk.com,satire            
The Daily Sheeple,thedailysheeple.com,pseudoscience    conspiracy  bias      
The Daily Vox,thedailyvox.co.za,left            
thedailywtf,thedailywtf.com,    satire        
The Diplomat Magazine,thediplomat.com,least_biased            
The Duran,theduran.com,questionable    unreliable        
theeconomiccollapseblog,theeconomiccollapseblog.com,    conspiracy  bias      
The Event Chronicle,theeventchronicle.com,pseudoscience    conspiracy  junksci  clickbait    
theextinctionprotocol,theextinctionprotocol.com,    conspiracy        
The Federalist,thefederalist.com,right            
thefederalistpapers,thefederalistpapers.org,    bias  conspiracy       
The Federalist Papers Project,thefederalistpapers.org,questionable            
The Fifth Column,thefifthcolumnnews.com,left_center    political        
The Fiscal Times,thefiscaltimes.com,right_center            
The Forbidden Knowledge,theforbiddenknowledge.com,pseudoscience    conspiracy  junksci      
The Free Patriot,thefreepatriot.org,questionable    fake  bias  clickbait    
Freethought Project,thefreethoughtproject.com,pseudoscience    unreliable  conspiracy  clickbait    
The Frisky,thefrisky.com,left            
The Fucking News,thefuckingnews.com,left            
The Gateway Pundit,thegatewaypundit.com,questionable    bias  conspiracy  unreliable    
The Gazette (Cedar Rapids),thegazette.com,right_center            
thegoldandoilguy  articles,thegoldandoilguy.com articles,    unreliable        
GOD (Good Lord Above),thegoodlordabove.com,satire            
TheGrio,thegrio.com,left            
The Observer,theguardian.com observer,left_center            
The Guardian,theguardian.com us,left_center            
The Hard Times,thehardtimes.net,satire    satire        
The Hill,thehill.com,left_center            
The Horn News,thehornnews.com,questionable            
The Humanist Magazine,thehumanist.com,least_biased            
Institute for Humane Studies,theihs.org,right_center            
theineptowl,theineptowl.com,    satire        
theinformedamerican,theinformedamerican.net,    unreliable        
The Intellectualist,theintellectualist.co,left            
The Intercept,theintercept.com,left_center    political        
The Internet Post,theinternetpost.net,"pseudoscience  fake news  fake       Scottsdale, Ariz. ** "
The Jakarta Post,thejakartapost.com,least_biased            
TheJournal.ie,thejournal.ie,least_biased            
The Lapine,thelapine.ca,satire            
The Last Great Stand,thelastgreatstand.com,pseudoscience    fake  conspiracy  bias    
thelastlineofdefense,thelastlineofdefense.org,"  parody site  satire       Scottsdale, Ariz. ** "
The Resistance: The Last Line of Defense,thelastlineofdefense.org,satire            
The Libertarian Republic,thelibertarianrepublic.com,right_center            
The Liberty Beacon,thelibertybeacon.com,pseudoscience    conspiracy  junksci  bias    
thelibertymill,thelibertymill.com,    unreliable  bias  conspiracy    
The Local (Norway),thelocal.no,left_center            
themadisonmisnomer,themadisonmisnomer.com,    satire        
The Marshall Project,themarshallproject.org #.qjbbuljBK,least_biased            
The Militant,themilitant.com,left            
The Mind Unleashed,themindunleashed.org,pseudoscience    conspiracy  junksci  clickbait    
The Moderate Voice,themoderatevoice.com,least_biased            
The Monthly (Australia),themonthly.com.au,left_center            
themoralofthestory ,themoralofthestory.us,"  fake news  fake       Paradise, Calif. "
Moscow Times,themoscowtimes.com,left_center            
themuslimissue ,themuslimissue.wordpress.com,    hate  conspiracy      
The Nation,thenation.com,left            
The National (UAE),thenational.ae,right_center            
thenationalmarijuananews,thenationalmarijuananews.com,"  some fake stories         Henderson, Nev. "
thenet24h,thenet24h.com,"  fake news  fake       Brisbane, Australia "
The New American,thenewamerican.com,right    bias        
The New Civil Rights Movement,thenewcivilrightsmovement.com,left            
The News (Mexico City),thenews.mx,least_biased            
thenewsdoctors,thenewsdoctors.com,    bias        
The News Nerd,thenewsnerd.com,satire    satire        
The News Tribune,thenewstribune.com,left_center            
thenewyorkevening,thenewyorkevening.com,"  imposter site  fake       Kumanovo, Macedonia "
The Onion,theonion.com,satire    satire        
The Oslo Times,theoslotimes.com,left_center            
thephaser,thephaser.com,    conspiracy        
thepoke,thepoke.co.uk,    satire        
Political Insider,thepoliticalinsider.com,"right  some fake stories  conspiracy  bias  unreliable   Scottsdale, Ariz. ** "
thepremiumnews,thepremiumnews.com,"  fake news         Panama, Pa. * "
The Proud Liberal,theproudliberal.org,questionable            
The Racket Report,theracketreport.com,"satire    fake  satire    I can't find disclaimers, but I think it's satirical   "
Real News Network,therealnews.com t2,left_center            
The Real Strategy,therealstrategy.com,right    bias  conspiracy  hate  black lives matter content spews a lot of racist info  
The Rebel,therebel.media,right            
thereporterz,thereporterz.com,    fake        
The Rightists,therightists.com,"questionable  parody site  satire       publishes both biased and fake content Jerusalem, Israel "
The Right Scoop,therightscoop.com,"right    fake  clickbait    no authors, no history, no about us, unverifiable data, etc.  "
The Right Stuff,therightstuff.biz,questionable    hate        
The Root,theroot.com,left            
The Rundown Live,therundownlive.com news,pseudoscience            
The Science Post,thesciencepost.com,satire            
The Seattle Tribune,theseattletribune.com,"satire  parody site  satire       Scottsdale, Ariz. ** "
The Shovel,theshovel.com.au,satire    satire        
The Skimm,theskimm.com,least_biased            
theskunk,theskunk.org,    satire        
The Smoking Gun,thesmokinggun.com,right_center            
The Spoof,thespoof.com,satire    satire        
Toronto Star,thestar.com,left_center            
thestatelyharold,thestatelyharold.com,    satire        
The Stranger,thestranger.com,left_center            
The Sun,thesun.co.uk,right            
The Sun Magazine,thesunmagazine.org,left_center            
The Tab,thetab.com,left_center            
thetimesoftheworld,thetimesoftheworld.com,    satire        
The Trumpet,thetrumpet.com,pseudoscience            
The Trump Media,thetrumpmedia.com,"questionable  fake news  fake       Scottsdale, Ariz. ** "
The Truth About Cancer,thetruthaboutcancer.com,pseudoscience    junksci        
The Truth Division,thetruthdivision.com,questionable    fake  bias      
The Truth Seeker,thetruthseeker.co.uk,pseudoscience    fake  conspiracy  junksci  ex: NY orchestrated the asian tsunami in 2008!  
thetruthwins,thetruthwins.com,    junksci  conspiracy  clickbait    
The Tyee,thetyee.ca,left_center            
The Unreal Times,theunrealtimes.com,satire    satire        
theusa-news,theusa-news.com,"  fake news  fake       Chesterbrook, Pa.^ "
theusaconservative,theusaconservative.com,"  fake news         Scottsdale, Ariz. ** "
The US Patriot,theuspatriot.com,questionable    satire  fake      
US Political Post,theuspoliticalpost.com,left            
thevalleyreport,thevalleyreport.com,    satire        
The Verge,theverge.com,left_center            
The Walrus,thewalrus.ca,left            
thewashingtonpress,thewashingtonpress.com,"  imposter site  fake       Laurium, Mich.  "
thewatchtowers,thewatchtowers.com,    bias  conspiracy  clickbait    
The Week,theweek.com,left_center            
The West Australian,thewest.com.au,right_center            
The Whim,thewhim.com,least_biased            
Think Progress,thinkprogress.org,left    political        
Third Way,thirdway.org,least_biased            
This,this.org,left            
The Zero Hour,thisisthezerohour.com,left_center            
threepercenternation,threepercenternation.com,    fake  conspiracy  bias    
Thrive Movement,thrivemovement.com,pseudoscience            
Time,time.com,left_center            
The Times,times.com.mx,satire            
times .mx,times.com.mx,"  imposter site  fake       Chesterbrook, Pa ^ "
Times-Colonist,timescolonist.com,left_center            
Times of Israel,timesofisrael.com,left_center            
Albany Times-Union,timesunion.com,left_center            
Tell Me Now,tmn.today,questionable            
tmzworldnews,tmzworldnews.com,"  fake news  fake       Scottsdale, Ariz.** "
Today Dispatch,todaydispatch.com,questionable            
To Inform is to Influence,toinformistoinfluence.com,left_center            
Toledo Blade,toledoblade.com,right_center            
TomDispatch ,tomdispatch.com,left_center            
tomwoods,tomwoods.com,    political  unrealiable      
topekasnews,topekasnews.com,    satire        
Topinfo Post,topinfopost.com,pseudoscience    clickbait  unreliable  conspiracy    
Toronto Sun,torontosun.com,right            
Towleroad,towleroad.com,left            
Townhall,townhall.com,right            
Transparency International,transparency.org,least_biased            
Transpartisan Review,transpartisanreview.com,least_biased            
Pittsburgh Tribune Review,triblive.com,right_center            
Tribunist,tribunist.com,right            
Ring of Fire,trofire.com,left            
True Activist,trueactivist.com,questionable    clickbait  unreliable      
trueamericans,trueamericans.me,"  fake news  fake       Chesterbrook, Pa. ^ "
True Pundit,truepundit.com,pseudoscience    bias  clickbait      
True Trumpers,truetrumpers.com,"questionable  fake news  fake       Chesterbrook, Pa.^ "
Departed (Maganews ),trumpers.online,questionable            
trumpvision365,trumpvision365.com,    fake        
TruNews,trunews.com,pseudoscience            
Truth Out,truth-out.org,left            
Truth and Action,truthandaction.org,questionable    bias  conspiracy  clickbait    
Truth Bang,truthbang.net,satire            
Truth Be Told,truthbetold.news,least_biased            
Truth Broadcasting Network,truthbroadcastnetwork.com,pseudoscience    conspiracy  clickbait      
Truth Channel Politics,truthchannelpolitics.com,pseudoscience            
Truthdig,truthdig.com,left            
Truth Examiner,truthexaminer.com,questionable            
TruthFeed,truthfeed.com,questionable    hate  bias  conspiracy    
truthfrequencyradio,truthfrequencyradio.com,    conspiracy         
Truth In Media,truthinmedia.com,right            
truthkings,truthkings.com,    bias  conspiracy  junksci    
Truth Monitor,truthmonitor.com,questionable            
Truth Revolt,truthrevolt.org,questionable    bias  hate      
Arizona Daily Star,tucson.com,left_center            
Turkey and Facts (Dogruluk Payi),turkeyandfacts.com,least_biased            
TVW Washington State,tvw.org,least_biased            
Twitchy,twitchy.com,right    clickbait  rumor      
Union of Concerned Scientists,ucsusa.org,pro_science            
ufoholic,ufoholic.com,    conspiracy        
United Federation of Teachers (UFT),uft.org,left_center            
Unbiased America,unbiasedamerica.com,right            
Uncle Sam’s Misguided Children,unclesamsmisguidedchildren.com,questionable    bias        
unconfirmedsources,unconfirmedsources.com,    satire        
Underground Health,undergroundhealth.com,pseudoscience            
The Underground Report,undergroundnewsreport.com,satire            
undergroundnewsreport,undergroundnewsreport.com,"  fake news  fake       Scottsdale, Ariz. ** "
undergroundworldnews,undergroundworldnews.com,    fake  conspiracy  bias    
Understand Reality Through Science,understandrealitythroughscience.blogspot.com,pro_science            
Unicorn Riot,unicornriot.ninja,left_center            
Manchester Union Leader,unionleader.com,right            
unitedmediapublishing,unitedmediapublishing.com,    fake        
universepolitics,universepolitics.com,"  fake news  fake       Veles, Macedonia "
University Business,universitybusiness.com,left_center            
unz,unz.com,    bias        
United Press International (UPI),upi.com,least_biased            
Uproxx,uproxx.com,left            
Upworthy,upworthy.com,left            
Urban Institute,urban.org,left_center            
urbanimagemagazine,urbanimagemagazine.com,"  some fake stories         Marion, Indiana "
us.blastingnews,us.blastingnews.com,    satire  unreliable      
usa-radio,usa-radio.com,"  fake news  fake       Scottsdale, Ariz. ** "
usa-television,usa-television.com,"  imposter site  fake       Scottsdale, Ariz. ** "
usa2016elections,usa2016elections.com,    fake      no longer being updated  
usadailyinfo,usadailyinfo.com,  fake news  fake       Panama * 
usadailypolitics,usadailypolitics.com,    fake        
usadailypost ,usadailypost.us,"  fake news         Veles, Macedonia "
usadailytime,usadailytime.com,"  fake news  fake      no satire disclaimer,  usadailytime.com breaking-mexico-closes-borders-usa-citizens  Panama, Pa.* "
usadosenews,usadosenews.com,"  fake news  fake       Nobby Beach, Australia!! "
usafirstinformation,usafirstinformation.com,"  fake news  fake       Panama, Pa. * "
USA Hitman,usahitman.com,pseudoscience    fake  conspiracy      
usainfobox,usainfobox.com,"    fake      can't find satire disclaimer, patently false  "
usamagazinestudio,usamagazinestudio.com,    fake        
usanews4u ,usanews4u.us,"  fake news         Veles, Virgin Islands "
USA Newsflash,usanewsflash.com,questionable    fake  bias  clickbait    
usanewshome,usanewshome.com,"  fake news         Scottsdale, Ariz. ** "
usanewsinsider,usanewsinsider.com,    fake  bias  clickbait    
usanewspolitics,usanewspolitics.com,    fake        
USANewsToday,usanewstoday.com,"questionable  fake news  fake       Scotts, Mich. "
usaonlinepolitics,usaonlinepolitics.com,    fake  clickbait    no longer being updated  
usaphase,usaphase.com,    fake  bias      
usapolitics24hrs,usapolitics24hrs.com,"  fake news  fake       Nobby Beach, Australia !! "
USA Politics Now,usapoliticsnow.com,"questionable  fake news  fake  bias     Nobby Beach, Australia !! "
USA Politics Today,usapoliticstoday.com,"right  fake news  bias  unreliable     Brea, Calif.^^ "
usapoliticszone,usapoliticszone.com,"  fake news  fake       Veles, Macedonia "
usasnich,usasnich.com,"  fake news  fake       Scottsdale, Ariz. ** "
USA Supreme,usasupreme.com,questionable    fake         
USA Today,usatoday.com.co,least_biased    fake        
usatodaynews,usatodaynews.me,"  imposter site  fake       Chesterbrook, Pa ^ "
usatwentyfour,usatwentyfour.com,    fake        
usawatchdog,usawatchdog.com,    bias        
usaworldbox,usaworldbox.com,"  fake news         Panama, Pa.^ "
U.S. Chronicle,uschronicle.com,questionable    bias  conspiracy  hate    
usconservativetoday,usconservativetoday.com,    fake        
usdefensewatch,usdefensewatch.com,    unreliable        
usfanzone,usfanzone.com,    fake  bias      
